"","years","mean","median","min","max"
"1",1992,537564.722207992,257677,1,25832243
"2",1993,484185.29395328,240185,930,7885863
"3",1994,541878.244401223,242615,1,10586146
"4",1995,633176.305486076,247778.5,1,19646564
"5",1996,605188.293258185,244902,1,19646564
"6",1997,602558.607948872,245015,0,69485886
"7",1998,570437.206595178,239175.5,0,69485886
"8",1999,592929.284029712,245932.5,0,69485886
"9",2000,920250.608180416,247354,0,69485886
"10",2001,676663.605564202,245082,0,69485886
"11",2002,1369940.74190206,319329,0,69485886
"12",2003,642050.042080694,243983,1,69485886
"13",2004,667149.321099394,261269,0,18843394
"14",2005,798341.340917331,262379,0,69485886
"15",2006,643425.399197919,261343,515,18843394
"16",2007,1399800.96740106,1524596,0,10586146
"17",2008,812578.241609763,276733,0,18843394
"18",2009,843139.36328125,304066,0,18843394
"19",2010,749521.667894091,273281,154,18843394
"20",2011,1016120.58254789,351354.5,0,18843394
"21",2012,803869.885145482,334899,1,18843394
"22",2013,991688.345229682,296836,750,69485886
"23",2014,696385.878034901,215267,515,34860000
"24",2015,1558395.50928285,660386,1000,10586146
"25",2016,724467.714453584,268821,3749,7885863
"26",2017,590433.935171747,326757,1,7728783
"27",2018,778393.487475915,325947,3749,18843394
"28",2019,635065.077546296,346511.5,4649,6756815
"29",2020,617270.522464698,334771,6258,4484148
"30",2021,959633.777202073,415288,10634,6265427
