"country","iso3c","sci_capacity"
"Australia","AUS","SAC"
"Austria","AUT","SAC"
"Belgium","BEL","SAC"
"Canada","CAN","SAC"
"Denmark","DNK","SAC"
"Finland","FIN","SAC"
"France","FRA","SAC"
"Germany","DEU","SAC"
"Iceland","ISL","SAC"
"Ireland","IRL","SAC"
"Israel","ISR","SAC"
"Italy","ITA","SAC"
"Japan","JPN","SAC"
"Korea, Rep","KOR","SAC"
"Netherlands","NLD","SAC"
"Norway","NOR","SAC"
"Russian Federation","RUS","SAC"
"Sweden","SWE","SAC"
"Switzerland","CHE","SAC"
"Taiwan","TWN","SAC"
"United Kingdom","GBR","SAC"
"United States","USA","SAC"
"Azerbaijan","AZE","SPC"
"Belarus","BLR","SPC"
"Brazil","BRA","SPC"
"Bulgaria","BGR","SPC"
"China","CHN","SPC"
"Croatia","HRV","SPC"
"Cuba","CUB","SPC"
"Czech Republic","CZE","SPC"
"Estonia","EST","SPC"
"Greece","GRC","SPC"
"Hungary","HUN","SPC"
"India","IND","SPC"
"Lithuania","LTU","SPC"
"Luxembourg","LUX","SPC"
"New Zealand","NZL","SPC"
"Poland","POL","SPC"
"Portugal","PRT","SPC"
"Romania","ROU","SPC"
"Singapore","SGP","SPC"
"Slovak Republic","SVK","SPC"
"Slovenia","SVN","SPC"
"South Africa","ZAF","SPC"
"Spain","ESP","SPC"
"Ukraine","UKR","SPC"
"Argentina","ARG","SDC"
"Armenia","ARM","SDC"
"Benin","BEN","SDC"
"Bolivia","BOL","SDC"
"Chile","CHL","SDC"
"Colombia","COL","SDC"
"Costa Rica","CRI","SDC"
"Egypt, Arab Rep.","EGY","SDC"
"Hong Kong, China","HKG","SDC"
"Indonesia","IDN","SDC"
"Iran","IRN","SDC"
"Kuwait","KWT","SDC"
"Latvia","LVA","SDC"
"Macedonia","MKD","SDC"
"Mauritius","MUS","SDC"
"Mexico","MEX","SDC"
"Moldova","MDA","SDC"
"Mongolia","MNG","SDC"
"Pakistan","PAK","SDC"
"Turkey","TUR","SDC"
"Turkmenistan","TKM","SDC"
"Uzbekistan","UZB","SDC"
"Venezuela","VEN","SDC"
"Yugoslavia, FR",NA,"SDC"
"Albania","ALB","SLC"
"Algeria","DZA","SLC"
"Angola","AGO","SLC"
"Bangladesh","BGD","SLC"
"Bosnia and Herzegovina","BIH","SLC"
"Botswana","BWA","SLC"
"Burkina Faso","BFA","SLC"
"Burundi","BDI","SLC"
"Cambodia","KHM","SLC"
"Cameroon","CMR","SLC"
"Central African Republic","CAF","SLC"
"Chad","TCD","SLC"
"Congo, Dem. Rep.","COD","SLC"
"Congo, Rep.","COG","SLC"
"Côte d’Ivoire","CIV","SLC"
"Dominican Republic","DOM","SLC"
"Ecuador","ECU","SLC"
"El Salvador","SLV","SLC"
"Eritrea","ERI","SLC"
"Ethiopia","ETH","SLC"
"Gabon","GAB","SLC"
"Gambia","GMB","SLC"
"Georgia","GEO","SLC"
"Ghana","GHA","SLC"
"Guatemala","GTM","SLC"
"Guinea","GIN","SLC"
"Guinea-Bissau","GNB","SLC"
"Haiti","HTI","SLC"
"Honduras","HND","SLC"
"Iraq","IRQ","SLC"
"Jamaica","JAM","SLC"
"Jordan","JOR","SLC"
"Kazakhstan","KAZ","SLC"
"Kenya","KEN","SLC"
"Korea, Dem. Rep.","PRK","SLC"
"Kyrgyz Republic","KGZ","SLC"
"Lao PDR","LAO","SLC"
"Lebanon","LBN","SLC"
"Lesotho","LSO","SLC"
"Libya","LBY","SLC"
"Madagascar","MDG","SLC"
"Malawi","MWI","SLC"
"Malaysia","MYS","SLC"
"Mali","MLI","SLC"
"Mauritania","MRT","SLC"
"Morocco","MAR","SLC"
"Mozambique","MOZ","SLC"
"Myanmar","MMR","SLC"
"Namibia","NAM","SLC"
"Nepal","NPL","SLC"
"Nicaragua","NIC","SLC"
"Niger","NER","SLC"
"Nigeria","NGA","SLC"
"Oman","OMN","SLC"
"Panama","PAN","SLC"
"Papua New Guinea","PNG","SLC"
"Paraguay","PRY","SLC"
"Peru","PER","SLC"
"Philippines","PHL","SLC"
"Rwanda","RWA","SLC"
"Saudi Arabia","SAU","SLC"
"Senegal","SEN","SLC"
"Sierra Leon","SLE","SLC"
"Sri Lanka","LKA","SLC"
"Sudan","SDN","SLC"
"Syrian Arab Republic","SYR","SLC"
"Tajikistan","TJK","SLC"
"Tanzania","TZA","SLC"
"Thailand","THA","SLC"
"Togo","TGO","SLC"
"Trinidad Tobago","TTO","SLC"
"Tunisia","TUN","SLC"
"Uganda","UGA","SLC"
"United Arab Emirates","ARE","SLC"
"Uruguay","URY","SLC"
"Vietnam","VNM","SLC"
"West Bank and Gaza","PSE","SLC"
"Yemen","YEM","SLC"
"Zambia","ZMB","SLC"
"Zimbabwe","ZWE","SLC"
